,0,1
217,the,best
218,best,interest
219,interest,of
220,of,both
221,both,government
222,government,''
223,'',.
224,merger,propose
225,however,","
226,",",the
227,the,jury
228,jury,say
229,say,it
230,it,belief
231,belief,``
232,``,these
233,these,two
234,two,office
235,office,should
236,should,be
237,be,combine
238,combine,to
239,to,achieve
240,achieve,greater
241,greater,efficiency
242,efficiency,and
243,and,reduce
244,reduce,the
245,the,cost
246,cost,of
247,of,administration
248,administration,''
249,'',.
250,the,city
251,city,purchasing
252,purchasing,department
253,department,","
254,",",the
255,the,jury
256,jury,say
257,say,","
258,",",``
259,``,be
260,be,lack
261,lack,in
262,in,experience
263,experience,clerical
264,clerical,personnel
265,personnel,as
266,as,a
267,a,result
268,result,of
269,of,city
270,city,personnel
271,personnel,policy
272,policy,''
273,'',.
274,it,urge
275,urge,that
276,that,the
277,the,city
278,city,``
279,``,take
280,take,steps
281,steps,to
282,to,remedy
283,remedy,''
284,'',this
285,this,problem
286,problem,.
287,implementation,of
288,of,georgia's
289,georgia's,automobile
290,automobile,title
291,title,law
292,law,wa
293,wa,also
294,also,recommend
295,recommend,by
296,by,the
297,the,outgo
298,outgo,jury
299,jury,.
300,it,urge
301,urge,that
302,that,the
303,the,next
304,next,legislature
305,legislature,``
306,``,provide
307,provide,enable
308,enable,funds
309,funds,and
310,and,re-set
311,re-set,the
312,the,effective
313,effective,date
314,date,so
315,so,that
316,that,an
317,an,orderly
318,orderly,implementation
319,implementation,of
320,of,the
321,the,law
322,law,may
323,may,be
324,be,effect
325,effect,''
326,'',.
327,the,grand
328,grand,jury
329,jury,take
330,take,a
331,a,swipe
332,swipe,at
333,at,the
334,the,state
335,state,welfare
336,welfare,department's
337,department's,handling
338,handling,of
339,of,federal
340,federal,funds
341,funds,grant
342,grant,for
343,for,child
344,child,welfare
345,welfare,services
346,services,in
347,in,foster
348,foster,home
349,home,.
350,``,this
351,this,be
352,be,one
353,one,of
354,of,the
355,the,major
356,major,item
357,item,in
358,in,the
359,the,fulton
360,fulton,county
361,county,general
362,general,assistance
363,assistance,program
364,program,''
365,'',","
366,",",the
367,the,jury
368,jury,say
369,say,","
370,",",but
371,but,the
372,the,state
373,state,welfare
374,welfare,department
375,department,``
376,``,ha
377,ha,see
378,see,fit
379,fit,to
380,to,distribute
381,distribute,these
382,these,funds
383,funds,through
384,through,the
385,the,welfare
386,welfare,department
387,department,of
388,of,all
389,all,the
390,the,county
391,county,in
392,in,the
393,the,state
394,state,with
395,with,the
396,the,exception
397,exception,of
398,of,fulton
399,fulton,county
400,county,","
401,",",which
402,which,receive
403,receive,none
404,none,of
405,of,this
406,this,money
407,money,.
408,the,juror
409,juror,say
410,say,they
411,they,realize
412,realize,``
413,``,a
414,a,proportionate
415,proportionate,distribution
416,distribution,of
417,of,these
418,these,funds
419,funds,might
420,might,disable
421,disable,this
422,this,program
423,program,in
424,in,our
425,our,le
426,le,populous
427,populous,county
428,county,''
429,'',.
430,nevertheless,","
431,",",``
432,``,we
433,we,feel
434,feel,that
435,that,in
436,in,the
437,the,future
438,future,fulton
439,fulton,county
440,county,should
441,should,receive
442,receive,some
443,some,portion
444,portion,of
445,of,these
446,these,available
447,available,funds
448,funds,''
449,'',","
450,",",the
451,the,juror
452,juror,say
453,say,.
454,``,failure
455,failure,to
456,to,do
457,do,this
458,this,will
459,will,continue
460,continue,to
461,to,place
462,place,a
463,a,disproportionate
464,disproportionate,burden
465,burden,''
466,'',on
467,on,fulton
468,fulton,taxpayer
469,taxpayer,.
470,the,jury
471,jury,also
472,also,comment
473,comment,on
474,on,the
475,the,fulton
476,fulton,ordinary's
477,ordinary's,court
478,court,which
479,which,ha
480,ha,be
481,be,under
482,under,fire
483,fire,for
484,for,it
485,it,practice
486,practice,in
487,in,the
488,the,appointment
489,appointment,of
490,of,appraiser
491,appraiser,","
492,",",guardian
493,guardian,and
494,and,administrator
495,administrator,and
496,and,the
497,the,awarding
498,awarding,of
499,of,fee
500,fee,and
501,and,compensation
502,compensation,.
503,wards,protect
504,the,jury
505,jury,say
506,say,it
507,it,found
508,found,the
509,the,court
510,court,``
511,``,ha
512,ha,incorporate
513,incorporate,into
514,into,it
515,it,operate
516,operate,procedure
517,procedure,the
518,the,recommendation
519,recommendation,''
520,'',of
521,of,two
522,two,previous
523,previous,grand
524,grand,jury
525,jury,","
526,",",the
527,the,atlanta
528,atlanta,bar
529,bar,association
530,association,and
531,and,an
532,an,interim
533,interim,citizen
534,citizen,committee
535,committee,.
536,``,these
537,these,action
538,action,should
539,should,serve
540,serve,to
541,to,protect
542,protect,in
543,in,fact
544,fact,and
545,and,in
546,in,effect
547,effect,the
548,the,court's
549,court's,ward
550,ward,from
551,from,undue
552,undue,costs
553,costs,and
554,and,it
555,it,appoint
556,appoint,and
557,and,elect
558,elect,servant
559,servant,from
560,from,unmeritorious
561,unmeritorious,criticism
562,criticism,''
563,'',","
564,",",the
565,the,jury
566,jury,say
567,say,.
568,regarding,atlanta's
569,atlanta's,new
570,new,multi-million-dollar
571,multi-million-dollar,airport
572,airport,","
573,",",the
574,the,jury
575,jury,recommend
576,recommend,``
577,``,that
578,that,when
579,when,the
580,the,new
581,new,management
582,management,take
583,take,charge
584,charge,jan.
585,jan.,1
586,1,the
587,the,airport
588,airport,be
589,be,operate
590,operate,in
591,in,a
592,a,manner
593,manner,that
594,that,will
595,will,eliminate
596,eliminate,political
597,political,influence
598,influence,''
599,'',.
600,the,jury
601,jury,do
602,do,not
603,not,elaborate
604,elaborate,","
605,",",but
606,but,it
607,it,add
608,add,that
609,that,``
610,``,there
611,there,should
612,should,be
613,be,periodic
614,periodic,surveillance
615,surveillance,of
616,of,the
617,the,pricing
618,pricing,practice
619,practice,of
620,of,the
621,the,concessionaire
622,concessionaire,for
623,for,the
624,the,purpose
625,purpose,of
626,of,keeping
627,keeping,the
628,the,price
629,price,reasonable
630,reasonable,''
631,'',.
632,ask,jail
633,jail,deputy
634,on,other
635,other,matter
636,matter,","
637,",",the
638,the,jury
639,jury,recommend
640,recommend,that
641,that,:
642,:,(
643,(,1
644,1,)
645,four,additional
646,additional,deputy
647,deputy,be
648,be,employ
649,employ,at
650,at,the
651,the,fulton
652,fulton,county
653,county,jail
654,jail,and
655,and,``
656,``,a
657,a,doctor
658,doctor,","
659,",",medical
660,medical,intern
661,intern,or
662,or,extern
663,extern,be
664,be,employ
665,employ,for
666,for,night
667,night,and
668,and,weekend
669,weekend,duty
670,duty,at
671,at,the
672,the,jail
673,jail,''
674,'',.
675,(,2
676,2,)
677,fulton,legislator
678,legislator,``
679,``,work
680,work,with
681,with,city
682,city,official
683,official,to
684,to,pass
685,pass,enable
686,enable,legislation
687,legislation,that
688,that,will
689,will,permit
690,permit,the
691,the,establishment
692,establishment,of
693,of,a
694,a,fair
695,fair,and
696,and,equitable
697,equitable,''
698,'',pension
699,pension,plan
700,plan,for
701,for,city
702,city,employ
703,employ,.
704,the,jury
705,jury,praise
706,praise,the
707,the,administration
708,administration,and
709,and,operation
710,operation,of
711,of,the
712,the,atlanta
713,atlanta,police
714,police,department
715,department,","
716,",",the
717,the,fulton
718,fulton,tax
719,tax,commissioner's
720,commissioner's,office
721,office,","
722,",",the
723,the,bellwood
724,bellwood,and
725,and,alpharetta
726,alpharetta,prison
727,prison,farm
728,farm,","
729,",",grady
730,grady,hospital
731,hospital,and
732,and,the
733,the,fulton
734,fulton,health
735,health,department
736,department,.
737,mayor,william
738,william,b.
739,b.,hartsfield
740,hartsfield,file
741,file,suit
742,suit,for
743,for,divorce
744,divorce,from
745,from,his
746,his,wife
747,wife,","
748,",",pearl
749,pearl,williams
750,williams,hartsfield
751,hartsfield,","
752,",",in
753,in,fulton
754,fulton,superior
755,superior,court
756,court,friday
757,friday,.
758,his,petition
759,petition,charge
760,charge,mental
761,mental,cruelty
762,cruelty,.
763,the,couple
764,couple,wa
765,wa,married
766,married,aug.
767,aug.,2
768,2,","
769,",",1913
770,1913,.
771,they,have
772,have,a
773,a,son
774,son,","
775,",",william
776,william,berry
777,berry,jr.
778,jr.,","
779,",",and
780,and,a
781,a,daughter
782,daughter,","
783,",",mrs.
784,mrs.,j.
785,j.,m.
786,m.,cheshire
787,cheshire,of
788,of,griffin
789,griffin,.
790,attorneys,for
791,for,the
792,the,mayor
793,mayor,say
794,say,that
795,that,an
796,an,amicable
797,amicable,property
798,property,settlement
799,settlement,ha
800,ha,be
801,be,agree
802,agree,upon
803,upon,.
804,the,petition
805,petition,list
806,list,the
807,the,mayor's
808,mayor's,occupation
809,occupation,as
810,as,``
811,``,attorney
812,attorney,''
813,'',and
814,and,his
815,his,age
816,age,as
817,as,71
818,71,.
819,it,list
820,list,his
821,his,wife's
822,wife's,age
823,age,as
824,as,74
825,74,and
826,and,place
827,place,of
828,of,birth
829,birth,as
830,as,opelika
831,opelika,","
832,",",ala.
833,ala.,.
834,the,petition
835,petition,say
836,say,that
837,that,the
838,the,couple
839,couple,ha
840,ha,not
841,not,live
842,live,together
843,together,as
844,as,man
845,man,and
846,and,wife
847,wife,for
848,for,more
849,more,than
850,than,a
851,a,year
852,year,.
853,the,hartsfield
854,hartsfield,home
855,home,be
856,be,at
857,at,637
858,637,e.
859,e.,pelham
860,pelham,rd.
861,rd.,aj
862,aj,.
863,henry,l.
864,l.,bowden
865,bowden,wa
866,wa,list
867,list,on
868,on,the
869,the,petition
870,petition,as
871,as,the
872,the,mayor's
873,mayor's,attorney
874,attorney,.
875,hartsfield,ha
876,ha,be
877,be,mayor
878,mayor,of
879,of,atlanta
880,atlanta,","
881,",",with
882,with,exception
883,exception,of
884,of,one
885,one,brief
886,brief,interlude
887,interlude,","
888,",",since
889,since,1937
890,1937,.
891,his,political
892,political,career
893,career,go
894,go,back
895,back,to
896,to,his
897,his,election
898,election,to
899,to,city
900,city,council
901,council,in
902,in,1923
903,1923,.
904,the,mayor's
905,mayor's,present
906,present,term
907,term,of
908,of,office
909,office,expire
910,expire,jan.
911,jan.,1
912,1,.
913,he,will
914,will,be
915,be,succeed
916,succeed,by
917,by,ivan
918,ivan,allen
919,allen,jr.
920,jr.,","
921,",",who
922,who,become
923,become,a
924,a,candidate
925,candidate,in
926,in,the
927,the,sept.
928,sept.,13
929,13,primary
930,primary,after
931,after,mayor
932,mayor,hartsfield
933,hartsfield,announce
934,announce,that
935,that,he
936,he,would
937,would,not
938,not,run
939,run,for
940,for,reelection
941,reelection,.
942,georgia,republicans
943,republicans,are
944,are,getting
945,getting,strong
946,strong,encouragement
947,encouragement,to
948,to,enter
949,enter,a
950,a,candidate
951,candidate,in
952,in,the
953,the,1962
954,1962,governor's
955,governor's,race
956,race,","
957,",",a
958,a,top
959,top,official
960,official,say
961,say,wednesday
962,wednesday,.
963,robert,snodgrass
964,snodgrass,","
965,",",state
966,state,gop
967,gop,chairman
968,chairman,","
969,",",say
970,say,a
971,a,meeting
972,meeting,hold
973,hold,tuesday
974,tuesday,night
975,night,in
976,in,blue
977,blue,ridge
978,ridge,bring
979,bring,enthusiastic
980,enthusiastic,response
981,response,from
982,from,the
983,the,audience
984,audience,.
985,state,party
986,party,chairman
987,chairman,james
988,james,w.
989,w.,dorsey
990,dorsey,add
991,add,that
992,that,enthusiasm
993,enthusiasm,wa
994,wa,picking
995,picking,up
996,up,for
997,for,a
998,a,state
999,state,rally
1000,rally,to
1001,to,be
1002,be,hold
1003,hold,sept.
1004,sept.,8
1005,8,in
1006,in,savannah
1007,savannah,at
1008,at,which
1009,which,newly
1010,newly,elect
1011,elect,texas
1012,texas,sen.
1013,sen.,john
1014,john,tower
1015,tower,will
1016,will,be
1017,be,the
1018,the,feature
1019,feature,speaker
1020,speaker,.
1021,in,the
1022,the,blue
1023,blue,ridge
1024,ridge,meeting
1025,meeting,","
1026,",",the
1027,the,audience
1028,audience,wa
1029,wa,warn
1030,warn,that
1031,that,entering
1032,entering,a
1033,a,candidate
1034,candidate,for
1035,for,governor
1036,governor,would
1037,would,force
1038,force,it
1039,it,to
1040,to,take
1041,take,petition
1042,petition,out
1043,out,into
1044,into,voting
1045,voting,precinct
1046,precinct,to
1047,to,obtain
1048,obtain,the
1049,the,signature
1050,signature,of
1051,of,register
1052,register,voter
1053,voter,.
1054,despite,the
1055,the,warning
1056,warning,","
1057,",",there
1058,there,wa
1059,wa,a
1060,a,unanimous
1061,unanimous,vote
1062,vote,to
1063,to,enter
1064,enter,a
1065,a,candidate
1066,candidate,","
1067,",",accord
1068,accord,to
1069,to,republicans
1070,republicans,who
1071,who,attend
1072,attend,.
1073,when,the
1074,the,crowd
1075,crowd,wa
1076,wa,ask
1077,ask,whether
1078,whether,it
1079,it,want
1080,want,to
1081,to,wait
1082,wait,one
1083,one,more
1084,more,term
1085,term,to
1086,to,make
1087,make,the
1088,the,race
1089,race,","
1090,",",it
1091,it,vote
1092,vote,no
1093,no,--
1094,--,and
1095,and,there
1096,there,be
1097,be,no
1098,no,dissent
1099,dissent,.
1100,the,large
1101,large,hurdle
1102,hurdle,the
1103,the,republicans
1104,republicans,would
1105,would,have
1106,have,to
1107,to,face
1108,face,be
1109,be,a
1110,a,state
1111,state,law
1112,law,which
1113,which,say
1114,say,that
1115,that,before
1116,before,making
1117,making,a
1118,a,first
1119,first,race
1120,race,","
1121,",",one
1122,one,of
1123,of,two
1124,two,alternative
1125,alternative,course
1126,course,must
1127,must,be
1128,be,take
1129,take,:
1130,:,1
1131,five,per
1132,per,cent
1133,cent,of
1134,of,the
1135,the,voter
1136,voter,in
1137,in,each
1138,each,county
1139,county,must
1140,must,sign
1141,sign,petition
1142,petition,request
1143,request,that
1144,that,the
1145,the,republicans
1146,republicans,be
1147,be,allow
1148,allow,to
1149,to,place
1150,place,names
1151,names,of
1152,of,candidate
1153,candidate,on
1154,on,the
1155,the,general
1156,general,election
1157,election,ballot
1158,ballot,","
1159,",",or
1160,or,2
1161,the,republicans
1162,republicans,must
1163,must,hold
1164,hold,a
1165,a,primary
1166,primary,under
1167,under,the
1168,the,county
1169,county,unit
1170,unit,system
1171,system,--
1172,--,a
1173,a,system
1174,system,which
1175,which,the
1176,the,party
1177,party,oppose
1178,oppose,in
1179,in,it
1180,it,platform
1181,platform,.
1182,sam,caldwell
1183,caldwell,","
1184,",",state
1185,state,highway
1186,highway,department
1187,department,public
1188,public,relations
1189,relations,director
1190,director,","
1191,",",resign
1192,resign,tuesday
1193,tuesday,to
1194,to,work
1195,work,for
1196,for,lt.
1197,lt.,gov.
1198,gov.,garland
1199,garland,byrd's
1200,byrd's,campaign
1201,campaign,.
1202,caldwell's,resignation
1203,resignation,have
1204,have,be
1205,be,expect
1206,expect,for
1207,for,some
1208,some,time
1209,time,.
1210,he,will
1211,will,be
1212,be,succeed
1213,succeed,by
1214,by,rob
1215,rob,ledford
1216,ledford,of
1217,of,gainesville
1218,gainesville,","
1219,",",who
1220,who,ha
1221,ha,be
1222,be,an
1223,an,assistant
1224,assistant,more
1225,more,than
1226,than,three
1227,three,years
1228,years,.
1229,when,the
1230,the,gubernatorial
1231,gubernatorial,campaign
1232,campaign,start
1233,start,","
1234,",",caldwell
1235,caldwell,be
1236,be,expect
1237,expect,to
1238,to,become
1239,become,a
1240,a,campaign
1241,campaign,coordinator
1242,coordinator,for
1243,for,byrd
1244,byrd,.
1245,the,georgia
1246,georgia,legislature
1247,legislature,will
1248,will,wind
1249,wind,up
1250,up,it
1251,it,1961
1252,1961,session
1253,session,monday
1254,monday,and
1255,and,head
1256,head,for
1257,for,home
1258,home,--
1259,--,where
1260,where,some
1261,some,of
1262,of,the
1263,the,highway
1264,highway,bond
1265,bond,money
1266,money,it
1267,it,approve
1268,approve,will
1269,will,follow
1270,follow,shortly
1271,shortly,.
1272,before,adjournment
1273,adjournment,monday
1274,monday,afternoon
1275,afternoon,","
1276,",",the
1277,the,senate
1278,senate,be
1279,be,expect
1280,expect,to
1281,to,approve
1282,approve,a
1283,a,study
1284,study,of
1285,of,the
1286,the,number
1287,number,of
1288,of,legislator
1289,legislator,allot
1290,allot,to
1291,to,rural
1292,rural,and
1293,and,urban
1294,urban,area
1295,area,to
1296,to,determine
1297,determine,what
1298,what,adjustment
1299,adjustment,should
1300,should,be
1301,be,make
1302,make,.
1303,gov.,vandiver
1304,vandiver,be
1305,be,expect
1306,expect,to
1307,to,make
1308,make,the
1309,the,traditional
1310,traditional,visit
1311,visit,to
1312,to,both
1313,both,chambers
1314,chambers,as
1315,as,they
1316,they,work
1317,work,toward
1318,toward,adjournment
1319,adjournment,.
1320,vandiver,likely
1321,likely,will
1322,will,mention
1323,mention,the
1324,the,$100
1325,$100,million
1326,million,highway
1327,highway,bond
1328,bond,issue
1329,issue,approve
1330,approve,earlier
1331,earlier,in
1332,in,the
1333,the,session
1334,session,as
1335,as,his
1336,his,first
1337,first,priority
1338,priority,item
1339,item,.
1340,construction,bond
1341,meanwhile,","
1342,",",it
1343,it,wa
1344,wa,learn
1345,learn,the
1346,the,state
1347,state,highway
1348,highway,department
1349,department,be
1350,be,very
1351,very,near
1352,near,being
1353,being,ready
1354,ready,to
1355,to,issue
1356,issue,the
1357,the,first
1358,first,$30
1359,$30,million
1360,million,worth
1361,worth,of
1362,of,highway
1363,highway,reconstruction
1364,reconstruction,bond
1365,bond,.
1366,the,bond
1367,bond,issue
1368,issue,will
1369,will,go
1370,go,to
1371,to,the
1372,the,state
1373,state,court
1374,court,for
1375,for,a
1376,a,friendly
1377,friendly,test
1378,test,suit
1379,suit,to
1380,to,test
1381,test,the
1382,the,validity
1383,validity,of
1384,of,the
1385,the,act
1386,act,","
1387,",",and
1388,and,then
1389,then,the
1390,the,sales
1391,sales,will
1392,will,begin
1393,begin,and
1394,and,contract
1395,contract,let
1396,let,for
1397,for,repair
1398,repair,work
1399,work,on
1400,on,some
1401,some,of
1402,of,georgia's
1403,georgia's,most
1404,most,heavily
1405,heavily,travel
1406,travel,highway
1407,highway,.
1408,a,highway
1409,highway,department
1410,department,source
1411,source,say
1412,say,there
1413,there,also
1414,also,be
1415,be,a
1416,a,plan
1417,plan,there
1418,there,to
1419,to,issue
1420,issue,some
1421,some,$3
1422,$3,million
1423,million,to
1424,to,$4
1425,$4,million
1426,million,worth
1427,worth,of
1428,of,rural
1429,rural,roads
1430,roads,authority
1431,authority,bond
1432,bond,for
1433,for,rural
1434,rural,road
1435,road,construction
1436,construction,work
1437,work,.
1438,a,revolve
1439,revolve,fund
1440,the,department
1441,department,apparently
1442,apparently,intend
1443,intend,to
1444,to,make
1445,make,the
1446,the,rural
1447,rural,roads
1448,roads,authority
1449,authority,a
1450,a,revolve
1451,revolve,fund
1452,fund,under
1453,under,which
1454,which,new
1455,new,bond
1456,bond,would
1457,would,be
1458,be,issue
1459,issue,every
1460,every,time
1461,time,a
1462,a,portion
1463,portion,of
1464,of,the
1465,the,old
1466,old,one
1467,one,are
1468,are,pay
1469,pay,off
1470,off,by
1471,by,tax
1472,tax,authorities
1473,authorities,.
1474,vandiver,open
1475,open,his
1476,his,race
1477,race,for
1478,for,governor
1479,governor,in
1480,in,1958
1481,1958,with
1482,with,a
1483,a,battle
1484,battle,in
1485,in,the
1486,the,legislature
1487,legislature,against
1488,against,the
1489,the,issuance
1490,issuance,of
1491,of,$50
1492,$50,million
1493,million,worth
1494,worth,of
1495,of,additional
1496,additional,rural
1497,rural,roads
1498,roads,bond
1499,bond,propose
1500,propose,by
1501,by,then
1502,then,gov.
1503,gov.,marvin
1504,marvin,griffin
1505,griffin,.
1506,the,highway
1507,highway,department
1508,department,source
1509,source,tell
1510,tell,the
1511,the,constitution
1512,constitution,","
1513,",",however
1514,however,","
1515,",",that
1516,that,vandiver
1517,vandiver,ha
1518,ha,not
1519,not,be
1520,be,consult
1521,consult,yet
1522,yet,about
1523,about,the
1524,the,plan
1525,plan,to
1526,to,issue
1527,issue,the
1528,the,new
1529,new,rural
1530,rural,roads
1531,roads,bond
1532,bond,.
1533,schley,county
1534,county,rep.
1535,rep.,b.
1536,b.,d.
1537,d.,pelham
1538,pelham,will
1539,will,offer
1540,offer,a
1541,a,resolution
1542,resolution,monday
1543,monday,in
1544,in,the
1545,the,house
1546,house,to
1547,to,rescind
1548,rescind,the
1549,the,body's
1550,body's,action
1551,action,of
1552,of,friday
1553,friday,in
1554,in,voting
1555,voting,itself
1556,itself,a
1557,a,$10
1558,$10,per
1559,per,day
1560,day,increase
1561,increase,in
1562,in,expense
1563,expense,allowance
1564,allowance,.
1565,pelham,say
1566,say,sunday
1567,sunday,night
1568,night,there
1569,there,wa
1570,wa,research
1571,research,being
1572,being,do
1573,do,on
1574,on,whether
1575,whether,the
1576,the,``
1577,``,quickie
1578,quickie,''
1579,'',vote
1580,vote,on
1581,on,the
1582,the,increase
1583,increase,can
1584,can,be
1585,be,repeal
1586,repeal,outright
1587,outright,or
1588,or,whether
1589,whether,notice
1590,notice,would
1591,would,have
1592,have,to
1593,to,first
1594,first,be
1595,be,given
1596,given,that
1597,that,reconsideration
1598,reconsideration,of
1599,of,the
1600,the,action
1601,action,would
1602,would,be
1603,be,seek
1604,seek,.
1605,while,emphasizing
1606,emphasizing,that
1607,that,technical
1608,technical,details
1609,details,be
1610,be,not
1611,not,fully
1612,fully,work
1613,work,out
1614,out,","
1615,",",pelham
1616,pelham,say
1617,say,his
1618,his,resolution
1619,resolution,would
1620,would,seek
1621,seek,to
1622,to,set
1623,set,aside
1624,aside,the
1625,the,privilege
1626,privilege,resolution
1627,resolution,which
1628,which,the
1629,the,house
1630,house,vote
1631,vote,through
1632,through,87-31
1633,87-31,.
1634,a,similar
1635,similar,resolution
1636,resolution,pass
1637,pass,in
1638,in,the
1639,the,senate
1640,senate,by
1641,by,a
1642,a,vote
1643,vote,of
1644,of,29-5
1645,29-5,.
1646,as,of
1647,of,sunday
1648,sunday,night
1649,night,","
1650,",",there
1651,there,wa
1652,wa,no
1653,no,word
1654,word,of
1655,of,a
1656,a,resolution
1657,resolution,being
1658,being,offer
1659,offer,there
1660,there,to
1661,to,rescind
1662,rescind,the
1663,the,action
1664,action,.
1665,pelham,point
1666,point,out
1667,out,that
1668,that,georgia
1669,georgia,voter
1670,voter,last
1671,last,november
1672,november,reject
1673,reject,a
1674,a,constitutional
1675,constitutional,amendment
1676,amendment,to
1677,to,allow
1678,allow,legislator
1679,legislator,to
1680,to,vote
1681,vote,on
1682,on,pay
1683,pay,raise
1684,raise,for
1685,for,future
1686,future,legislature
1687,legislature,sessions
1688,sessions,.
1689,a,veteran
1690,veteran,jackson
1691,jackson,county
1692,county,legislator
1693,legislator,will
1694,will,ask
1695,ask,the
1696,the,georgia
1697,georgia,house
1698,house,monday
1699,monday,to
1700,to,back
1701,back,federal
1702,federal,aid
1703,aid,to
1704,to,education
1705,education,","
1706,",",something
1707,something,it
1708,it,ha
1709,ha,consistently
1710,consistently,oppose
1711,oppose,in
1712,in,the
1713,the,past
1714,past,.
1715,rep.,mac
1716,mac,barber
1717,barber,of
1718,of,commerce
1719,commerce,be
1720,be,asking
1721,asking,the
1722,the,house
1723,house,in
1724,in,a
1725,a,privilege
1726,privilege,resolution
1727,resolution,to
1728,to,``
1729,``,endorse
1730,endorse,increase
1731,increase,federal
1732,federal,support
1733,support,for
1734,for,public
1735,public,education
1736,education,","
1737,",",provide
1738,provide,that
1739,that,such
1740,such,funds
1741,funds,be
1742,be,receive
1743,receive,and
1744,and,expend
1745,expend,''
1746,'',as
1747,as,state
1748,state,funds
1749,funds,.
1750,barber,","
1751,",",who
1752,who,be
1753,be,in
1754,in,his
1755,his,13th
1756,13th,year
1757,year,as
1758,as,a
1759,a,legislator
1760,legislator,","
1761,",",say
1762,say,there
1763,there,``
1764,``,are
1765,are,some
1766,some,member
1767,member,of
1768,of,our
1769,our,congressional
1770,congressional,delegation
1771,delegation,in
1772,in,washington
1773,washington,who
1774,who,would
1775,would,like
1776,like,to
1777,to,see
1778,see,it
1779,it,(
1780,(,the
1781,the,resolution
1782,resolution,)
1783,),pass
1784,pass,''
1785,'',.
1786,but,he
1787,he,add
1788,add,that
1789,that,none
1790,none,of
1791,of,georgia's
1792,georgia's,congressman
1793,congressman,specifically
1794,specifically,ask
1795,ask,him
1796,him,to
1797,to,offer
1798,offer,the
1799,the,resolution
1800,resolution,.
1801,the,resolution
1802,resolution,","
1803,",",which
1804,which,barber
1805,barber,toss
1806,toss,into
1807,into,the
1808,the,house
1809,house,hopper
1810,hopper,friday
1811,friday,","
1812,",",will
1813,will,be
1814,be,formally
1815,formally,read
1816,read,monday
1817,monday,.
1818,it,say
1819,say,that
1820,that,``
1821,``,in
1822,in,the
1823,the,event
1824,event,congress
1825,congress,doe
1826,doe,provide
1827,provide,this
1828,this,increase
1829,increase,in
